hasil_stemming,dominant_emotion
"['apa', 'iya', 'mungkin', 'tren', 'tagar', 'kaburajadulu', 'pacu', 'semangat', 'orangorang', 'jadi', 'lebih', 'baik', 'bisa', 'pergi', 'negara', 'impi']",anticipation
"['waktu', 'rawan', 'ngobrol', 'sama', 'bayang', 'buatin', 'skema', 'anggar', 'hidup', 'biaya', 'nyata', 'kaburajadulu', 'jepang']",trust
"['aneh', 'sangat', 'ayah', 'kata', 'aku', 'kamu', 'kaburajadulu']",trust
"['sudah', 'cocok', 'buat', 'kaburajadulu']",anger
"['benar', 'sekali', 'tidak', 'tidak', 'dengar', 'kaburajadulu']",anger
"['hari', 'ada', 'teks', 'kaburajadulu', 'malemnya', 'lanjut', 'diskusi', 'latsol', 'simpul', 'teks', 'sama', 'jujur', 'sudah', 'mulai', 'ngerasa', 'sedikit', 'berat', 'buat', 'konsisten', 'ingat', 'punya', 'tuju', 'besar', 'capai', 'usaha', 'besar', 'ill', 'always', 'do', 'my', 'baik']",anticipation
"['asli', 'ingin', 'mana', 'orangorang', 'kaburajadulu']",sadness
"['aku', 'baru', 'pindah', 'negara', 'modal', 'english', 'paspasan', 'kaburajadulu', 'kita', 'tetangga', 'mulai', 'dekat', 'kamu', 'ingin', 'bantu', 'aku', 'belajar', 'bahasa', 'sejak', 'jadi', 'kamu', 'malah', 'ingin', 'belajar', 'bahasa', 'ingin', 'ngertiin', 'aku', 'bukan', 'cuma', 'aku', 'ngertiin', 'kamu', 'httpstcotvvakj', 'qgf']",sadness
"['memang', 'buruk', 'kaburajadulu', 'sini', 'mah', 'jalan', 'bawa', 'anjing', 'gapake', 'leash', 'sudah', 'didatengin', 'polisi']",fear
"['halah', 'lebay', 'sangat', 'baru', 'berapa', 'minggu', 'kaburajadulu']",disgust
"['iya', 'pantes', 'negara', 'dapet', 'pimpin', 'model', 'gitu', 'memang', 'satu', 'jalan', 'iya', 'kaburajadulu']",anger
"['ingat', 'kaburajadulu']",anger
"['iya', 'pasti', 'bagaimana', 'orang', 'banyak', 'uang', 'pasti', 'diam', 'tidak punya', 'duitduitnya', 'hilang', 'sulit percaya', 'dia', 'diam', 'masih', 'sesi', 'sama', 'nyinggung', 'soal', 'indonesiagelap', 'kaburajadulu', 'maaf', 'jawab', 'sangat', 'tidak', 'napak', 'tanah']",trust
"['kaum', 'tsb', 'beberapa', 'antara', 'hasut', 'kaburajadulu', 'sudah', 'mah', 'rusak', 'indonesia', 'tidak', 'peduli', 'sudah', 'gitu', 'main', 'kabur', 'luar', 'ibarat', 'bocah', 'maen', 'becek', 'halaman', 'jadi', 'lumpur', 'telah', 'lupa', 'matiin', 'keran', 'aer', 'terus', 'jalan', 'lantai', 'terus', 'kabur', 'pulang']",fear
"['mama', 'ku', 'tinggal', 'lama', 'kata', 'tidak', 'enak', 'sekarang', 'ingin', 'kaburajadulu', 'tidak', 'rekomendasi', 'dsna', 'lebih', 'buruk', 'indonesia', 'kritik', 'perintah', 'dikit', 'bisa', 'cabut', 'kewarganegaraan', 'mu', 'jauh', 'ada', 'ribu', 'kewarganegaraan', 'cabut', 'lama', 'bulan', 'akhir']",sadness
"['guna', 'duluan', 'mobil', 'kaburajadulu']",anger
"['udahnya', 'pikir', 'kaburajadulu', 'part', 'tek']",anger
"['seperti', 'kita', 'hrus', 'kaburajadulu']",anger
"['bilang', 'kaburajadulu']",anger
"['lanjutin', 'nak', 'modal', 'kmu', 'buat', 'kaburajadulu']",anger
"['jangan', 'indonesia', 'kata', 'mah', 'meg', 'boyong', 'keluarga', 'keluar', 'alias', 'kaburajadulu']",trust
"['benar', 'sangat', 'kapan', 'iya', 'kaburajadulu']",anticipation
"['princess', 'kita', 'kaburajadulu', 'ayok']",trust
"['tidak', 'ada', 'jalan', 'keluar', 'kaburajadulu', 'httpstcolzmfnxce']",disgust
"['nyata', 'pimpin', 'blunder', 'prabowogibranmunduraja', 'jokowipenipu', 'jokowitakutdiadili', 'kaburajadulu']",trust
"['makanya', 'my', 'number', 'one', 'destination', 'buat', 'kaburajadulu', 'negara', 'arab', 'soal', 'sudah', 'kaya', 'raya', 'muslim', 'majority', 'mana', 'halal', 'hijrah']",anger
"['mega', 'nih', 'orang', 'indonesia', 'sangat', 'kaburajadulu', 'akhir', 'pulangajadeh', 'demi', 'keluarga', 'sehat', 'mb', 'mega', 'semoga', 'gaji', 'sisa', 'tabung', 'sudah', 'dimanage', 'jadi', 'bisa', 'cukup', 'hidup', 'retire', 'earlynya']",joy
"['iya', 'tuhan', 'aku', 'baru', 'ngeh', 'kakak', 'ultah', 'senang', 'birthday', 'kakak', 'cantik', 'ganteng', 'cakep', 'paripurna', 'lt', 'semoga', 'tambah', 'umur', 'tambah', 'rezeki', 'bisa', 'cepatcepat', 'realisasi', 'kaburajadulu', 'jadi', 'user', 'tweet', 'diaspora', 'sama', 'pacar', 'ilysb', 'yhnqw']",trust
"['iya', 'kaburajadulu']",anger
"['kita', 'ikut', 'kaburajadulu']",anger
"['terusin', 'bisa', 'kaburajadulu']",anger
"['sempat', 'kaburajadulu', 'takutt']",anger
"['sudah', 'dapet', 'ikut', 'titip', 'london', 'boys', 'ingin', 'dinikahin', 'guna', 'paper', 'rings', 'kakak', 'aku', 'ingin', 'kaburajadulu', 'httpstcoipujpkct']",sadness
"['bestienya', 'sudah', 'kaburajadulu', 'ketawa', 'ada', 'ingin', 'tuju']",sadness
"['kecewa', 'sangat', 'kapan', 'gua', 'bisa', 'kaburajadulu']",disgust
"['umur', 'ingin', 'nambah', 'skill', 'bahasa', 'buat', 'kaburajadulu', 'bagus', 'belajar', 'japanese', 'mandarin', 'dulu', 'iya']",anticipation
"['alhamdulillah', 'masih', 'dapet', 'pajak', 'refund', 'tahun', 'perintah', 'kaburajadulu', 'httpstcokeznp', 'bfph']",joy
"['mamazar', 'siap', 'ikut', 'trend', 'kaburajadulu']",anticipation
"['iya', 'aku', 'kelompok', 'mamazar', 'fokus', 'sama', 'beasiswa', 'terus', 'kuliah', 'luar', 'negeri', 'tinggalin', 'semua', 'stress', 'fattah', 'diah', 'lidya', 'goodluck', 'mama', 'lofiu', 'fattzar', 'kaburajadulu']",trust
"['fase', 'kaburajadulu', 'skripsi', 'alias', 'pergi', 'jakarta', 'bulan', 'mikirin', 'skripsi', 'padahal', 'nyusun', 'bab', 'belum', 'httpstcoqzbvux', 'aww']",anger
"['belakang', 'tagartagar', 'indonesiagelap', 'kaburajadulu', 'peringatandarurat', 'sedang', 'marak', 'guna', 'bagai', 'kanal', 'sosial', 'media', 'mudakuliah', 'adadikompas', 'httpstcoli', 'afku', 'jn', 'httpstcolj', 'kkmwh']",trust
"['seperti', 'kita', 'kaburajadulu', 'hidup', 'sedikit', 'lebih', 'jamin', 'banding', 'sini', 'ingin', 'jejuu']",anticipation
"['kaya', 'muka', 'liat', 'kaburajadulu', 'sangat', 'imigrasi', 'nanya', 'nanya', 'putar', 'padahal', 'aku', 'extend', 'sama', 'mama', 'beliau', 'gratis', 'passed']",trust
"['sudah', 'ngerti', 'kenapa', 'ingin', 'kaburajadulu', 'sana']",sadness
"['percuma', 'kampusuniversitas', 'diam', 'kerja', 'sama', 'tni', 'dalih', 'bela', 'negara', 'lamakelamaan', 'negeri', 'jadi', 'otoritarian', 'fasiszionis', 'ikut', 'jejak', 'otoritarianisme', 'myanmar', 'nigeria', 'chili', 'filipina', 'memang', 'sudah', 'benar', 'tuju', 'kaburajadulu', 'matang']",trust
"['iya', 'tuhan', 'ingin', 'kaburajadulu', 'duit', 'mane']",sadness
"['preorder', 'kaitei', 'ban', 'mimi', 'kara', 'oboeru', 'buka', 'siap', 'gebrak', 'guna', 'cara', 'kilat', 'ngafalin', 'vocab', 'penting', 'contoh', 'kalimat', 'bahasa', 'eng', 'chi', 'kor', 'viet', 'dm', 'iya', 'kaburajadulu', 'httpstcogbqmpgcmcb', 'httpstcoqzvryzndhl']",anticipation
"['planningnya', 'memang', 'mulai', 'kaburajadulu']",anger
"['mending', 'kamu', 'evakuasi', 'warga', 'negara', 'sini', 'dulu', 'kaburajadulu']",fear
"['kaburajadulu', 'ucii', 'love', 'uu', 'sudah', 'bagi', 'masalah', 'nyata', 'beratt', 'httpstcof', 'wqcxfw']",trust
"['kaburajadulu', 'nang']",anger
"['rasa', 'ingin', 'kaburajadulu']",sadness
"['ingin', 'kaburajadulu', 'salah', 'pilih', 'baik', 'negara', 'makmur', 'nonton', 'main', 'world', 'cup', 'qualifiers', 'gratis', 'bahkan', 'dapet', 'souvernir']",anticipation
"['terus', 'sekarang', 'dicaricari', 'kayak', 'kaburajadulu', 'luar', 'negeri', 'iya', 'kemarin', 'sudah', 'sempet', 'kunciin', 'gdrive', 'pribadi', 'iya', 'pribadi', 'bukan', 'gdrive', 'milik', 'usaha', 'akses', 'guna', 'email', 'bukan', 'pakai', 'nik']",trust
"['komitmen', 'terus', 'sama', 'tuju', 'sukses', 'sama', 'kaburajadulu', 'lpk', 'lpkjepang', 'magang', 'lokerjepang', 'trending', 'httpstcoghmycmyguu']",trust
"['mohon', 'ingin', 'beli', 'emas', 'batang', 'beli', 'antam', 'dia', 'aku', 'internasional', 'casee', 'iya', 'kamu', 'ingin', 'kaburajadulu', 'negara', 'hilang', 'kamu', 'bisa', 'jual', 'mana', 'memang', 'aku', 'internasional', 'mar', 'nasional', 'mohon', 'beli', 'antam', 'low', 'risk']",sadness
"['bismillahirrahmanirrahim', 'kaburajadulu']",anger
"['resign', 'tuk', 'kita', 'kaburajadulu']",anger
"['efek', 'sangkin', 'sering', 'bahas', 'kaburajadulu', 'httpstcowafgyp', 'tidak']",anger
"['gera', 'kaburajadulu']",anger
"['bombardir', 'tanya', 'pimred', 'jawab', 'soal', 'urgensi', 'uu', 'tni', 'cepat', 'sah', 'tidak', 'transparan', 'indonesiagelap', 'kaburajadulu', 'polri', 'hingga', 'tarif', 'impor', 'trump', 'httpstcometxc', 'sc']",trust
"['biaya', 'gin', 'laku', 'umur', 'hidup', 'lulus', 'tahun', 'hasil', 'kaburajadulu', 'jepang', 'sama', 'orang', 'sana', 'masih', 'liat', 'sertifnya', 'jwnz', 'btxc']",anticipation
"['bagus', 'untung', 'tanya', 'tetap', 'dikerjain', 'bisa', 'kaburajadulu']",trust
"['mending', 'kaburajadulu', 'jepun', 'kaak', 'wkwkw']",anger
"['memang', 'sudah', 'paling', 'benar', 'kaburajadulu']",anger
"['mbak', 'mengapa', 'tidak', 'pindah', 'sana', 'negara', 'maju', 'iya', 'kata', 'kaya', 'neolib', 'tidak', 'cocok', 'sini', 'iya', 'silahkan', 'kaburajadulu']",trust
"['aku', 'ingin', 'jambak', 'rambut', 'sangat', 'urus', 'izin', 'kerja', 'thailand', 'all', 'alone', 'hiks', 'inti', 'kaburajadulu', 'requires', 'lot', 'of', 'money', 'bahkan', 'kamu', 'already', 'punya', 'sponsor', 'negara', 'baru', 'kayak', 'my', 'god']",trust
"['lewat', 'baca', 'kamu', 'demo', 'kamu', 'tahu', 'diri', 'tidak', 'semua', 'ikut', 'demo', 'miskin', 'well', 'black', 'list', 'bisa', 'minta', 'orang', 'tua', 'buat', 'kaburajadulu', 'jadi', 'ngerasa', 'biasabiasa', 'sudah', 'kerja', 'sudah', 'baikbaik', 'tempat']",sadness
"['harap', 'untung', 'sobat', 'today', 'diri', 'ingin', 'interview', 'last', 'step', 'bismillah', 'lolos', 'iya', 'bisa', 'kaburajadulu']",anticipation
"['kalaubisalepashariinimending', 'kaburajadulu']",anger
['kaburajadulu'],anger
"['buat', 'wni', 'belum', 'bisa', 'ikut', 'kaburajadulu']",anger
"['kandidat', 'sudah', 'hasil', 'kaburajadulu', 'jepang', 'perangkat', 'engineer', 'lulus', 'kuliah', 'jadi', 'alam', 'kerja', 'belum', 'genap', 'tahun', 'sudah', 'punya', 'kamu', 'kapan', 'ikut', 'kaburajadulu', 'httpstcoyt', 'ag', 'mq']",anticipation
"['pikir', 'pikir', 'bagaimana', 'rakyat', 'indonesa', 'tidak', 'banyak', 'utang', 'iya', 'semua', 'mua', 'jejelin', 'paylater', 'dana', 'cicil', 'telah', 'negara', 'banyak', 'utang', 'jir', 'everyday', 'apa', 'waktu', 'kaburajadulu']",sadness
"['makin', 'yakin', 'kamu', 'bego', 'tidak', 'ketulungan', 'narik', 'simpul', 'enak', 'udel', 'tanda', 'logika', 'pikir', 'beranta', 'mending', 'kaburajadulu', 'jadi', 'makan', 'bangke', 'sodara', 'sendiri', 'dasar', 'kao', 'jilat', 'pantat', 'wo', 'iyuuwwhh']",anger
"['subsidi', 'banyak', 'rakyat', 'tidak', 'kaburajadulu']",anger
"['maaf', 'iya', 'bian', 'tidak', 'bisa', 'bantu', 'ente', 'kaburajadulu', 'teteh', 'doain', 'angkat', 'jadi', 'duta', 'pariwisata', 'phatthalung']",trust
"['ide', 'bagus', 'yakin', 'tidak', 'ngerti', 'makna', 'indonesiagelap', 'kaburajadulu']",trust
"['kemarin', 'bukan', 'sudah', 'kaburajadulu']",anger
"['kaburajadulu', 'bilang', 'harus', 'gelap', 'cari', 'solusi', 'bukan', 'kabur', 'haha', 'ironic', 'coming', 'from', 'him', 'keluar', 'of', 'all', 'people']",trust
['kaburajadulu'],anger
"['mohon', 'maaf', 'nih', 'tidak bisa', 'bantu', 'kaburajadulu']",sadness
"['ingin', 'ikut', 'kaburajadulu', 'sama', 'dd']",trust
"['ada', 'sempat', 'kaburajadulu', 'guna', 'tes', 'ielts', 'sudah', 'psti', 'bukan', 'untuk']",anger
"['jadi', 'gadis', 'rumah', 'tangga', 'pacman', 'on', 'loop', 'informasi', 'loker', 'kaburajadulu', 'httpstcolsokvjniy']",anger
"['instruksi', 'atur', 'kurang', 'bagaimana', 'buat', 'ingin', 'kaburajadulu', 'singapura', 'ayok', 'daftar', 'diri', 'usaha', 'resmi', 'httpstcosl', 'zribamu']",trust
"['alas', 'banyak', 'wni', 'lebih', 'pilih', 'singapura', 'diri', 'usaha', 'httpstcoio', 'dfroixr', 'bisnissingapura', 'startupid', 'bisnisglobal', 'pajakperusahaan', 'pendirianpt', 'kaburajadulu']",anticipation
"['sudah', 'warga', 'makan', 'janji', 'palsu', 'atas', 'sama', 'lebih', 'buruk', 'jelas', 'mas', 'masa', 'sudah', 'demo', 'tidak', 'dianggep', 'sama', 'sekali', 'iyo', 'mas', 'hashtag', 'kaburajadulu', 'masa', 'sama', 'menteri', 'bilang', 'tidak', 'tidak', 'tll', 'bukan', 'ayom', 'malah', 'ngusir']",trust
"['cocok', 'buat', 'kaburajadulu']",anger
"['makin', 'cepat', 'ngerjain', 'makin', 'cepat', 'selesai', 'makin', 'cepat', 'kaburajadulu']",joy
"['ajak', 'kita', 'jelajah', 'tempattempat', 'tarik', 'siapa', 'tarik', 'ikut', 'jajah', 'waktu', 'kaburajadulu', 'sama', 'dd', 'httpstcokovvphzsn']",anticipation
"['gaji', 'juta', 'kaburajadulu']",anticipation
"['benar', 'gila', 'aturrlahh', 'masa', 'orang', 'pintar', 'malah', 'dianggurin', 'makanya', 'orang', 'pi', 'ter', 'tidak', 'ingin', 'indonesia', 'bahkan', 'kaburajadulu']",sadness
"['iya', 'hasil', 'kaburajadulu']",anticipation
"['terlalu', 'banyak', 'bacot', 'kau', 'mana', 'agenda', 'kaburajadulu', 'bio', 'kau', 'masih', 'sini']",anger
"['nada', 'bicara', 'persis', 'sangat', 'bejir', 'anak', 'bandung', 'kaburajadulu', 'part', 'kata']",joy
"['sana', 'pajak', 'mahal', 'worth', 'it', 'pejabrut', 'kerja', 'bikin', 'undang', 'pro', 'penting', 'rakyat', 'fasilitas', 'umum', 'jalan', 'sehat', 'didik', 'sejahtera', 'diurusin', 'sama', 'negara', 'aku', 'ada', 'sempat', 'kaburajadulu', 'sudah', 'mapan', 'luar', 'iya', 'ogah', 'sini']",joy
"['ngekosnya', 'kaburajadulu']",anger
"['cari', 'orang', 'buat', 'kabur', 'naik', 'kapal', 'nabi', 'nuh', 'cowo', 'cewe', 'lanjut', 'adab', 'diitung', 'itung', 'kita', 'patungan', 'juta', 'kaburajadulu', 'kbzlyqd']",trust
"['quotetwit', 'sebab', 'kaburajadulu', 'gila', 'sejak', 'sd', 'kayak', 'begini', 'selalu', 'bahkan', 'sekolah', 'top', 'kata', 'superdisplin', 'anak', 'ngambis', 'masih', 'ada', 'penaltynya']",trust
"['asean', 'semoga', 'trending', 'southeastasia', 'bakarsampah', 'kaburajadulu', 'indonesiagelap', 'airpollution', 'am', 'polusi', 'udara', 'tingkat', 'pukul', 'am', 'dini', 'hari', 'bukti', 'angin', 'timur', 'barat', 'httpstcoojudavt', 'bisa']",trust
"['tandatanda', 'kaburajadulu']",anger
"['ehj', 'negara', 'gkpp', 'kaburajadulu']",anger
"['apakah', 'pulang', 'pilih', 'benar', 'tepat', 'saat', 'pulang', 'seperti', 'bukan', 'pilih', 'aman', 'kaburajadulu']",joy
"['akhir', 'bentar', 'bakal', 'ikut', 'tren', 'kaburajadulu']",anger
"['paksa', 'hapus', 'uk', 'kaburajadulu', 'list']",anger
"['ril', 'sangat', 'ingin', 'kaburajadulu', 'pusing', 'semua', 'tempat', 'mumet']",sadness
"['ingin', 'ngundang', 'pimpin', 'gera', 'indonesiagelap', 'kaburajadulu', 'memang', 'ada', 'pimpin', 'semua', 'gera', 'murni', 'warga', 'sipil', 'masuk', 'gera', 'murni', 'warga', 'sipil', 'bukti', 'pimpin', 'lawakrasi', 'ngelawak', 'selalu', 'httpstcofmqf', 'ep', 'ze']",trust
"['kaburajadulu', 'kerja', 'usaha', 'dasco', 'kamboja', 'informasi', 'lokernya']",anticipation
"['kaburajadulu', 'oz', 'ayok']",trust
"['ingin', 'kaburajadulu', 'ozi', 'iya', 'tuhan', 'work', 'hidup', 'balance', 'english', 'speaking', 'negara', 'insurance', 'industry', 'baguus', 'bagaimana', 'caranyaa', 'aak']",anticipation
"['dar', 'ingat', 'tepat', 'indonesia', 'rusak', 'beliau', 'kaburajadulu', 'jilid']",anger
"['sebenernya', 'carmen', 'jadi', 'idol', 'kaburajadulu', 'mohon', 'angkut', 'aku', 'jadi', 'idol', 'lumayan', 'engagement', 'ada', 'gua', 'sana', 'sejarah', 'kpop', 'aman', 'gua', 'tahu', 'incheon', 'battle', 'kpop', 'salah', 'gaul']",anger
"['semua', 'kursus', 'ingin', 'daftar', 'penuhh', 'anjirt', 'benersn', 'siap', 'kaburajadulu', 'sangat']",sadness
"['kuat', 'hilang', 'kaburajadulu']",fear
"['ada', 'indonesiagelap', 'kaburajadulu', 'bikin', 'aku', 'makin', 'semangat', 'belajar', 'nihongo', 'hamdalah', 'sekarang', 'sudah', 'bisa', 'baca', 'sekarang', 'tinggal', 'fokus', 'belajar', 'bunpou', 'kaiwa', 'sama', 'murojaah', 'kotoba']",trust
"['packing', 'kemarin', 'tetap', 'ingat', 'pesan', 'nyokap', 'buat', 'tetap', 'rajin', 'tuntut', 'ilmu', 'mana', 'ada', 'buat', 'kartu', 'pesan', 'smoga', 'lulus', 'kaburajadulu', 'httpstcoykecblnvq']",disgust
"['mending', 'ngejalanin', 'kaburajadulu']",anger
"['kapan', 'dapet', 'gaji', 'juta', 'bulan', 'bangkok', 'gaji', 'cuma', 'ingin', 'konsul', 'bisa', 'dm', 'ig', 'yaw', 'tweet', 'buat', 'ngoceh', 'kaburajadulu']",trust
"['nyemangatin', 'ingin', 'kaburajadulu', 'spy', 'cepat', 'ngacirjgn', 'omong', 'ngacir', 'gih', 'kamu', 'ingin', 'kabur', 'ingetin', 'cepat', 'kabur', 'kox', 'bilang', 'alih', 'isu', 'kamu', 'sangat', 'ingin', 'ngalihin', 'isu', 'tidak', 'suruh', 'kabur', 'ye', 'httpstcomnzjsrreth']",sadness
"['padahal', 'dia', 'tepat', 'waktu', 'ikut', 'kaburajadulu']",anticipation
"['apakah', 'konsep', 'kaburajadulu', 'ada', 'bendera', 'amriki']",anticipation
"['jabat', 'malah', 'kaburajadulu']",anger
"['fresh', 'graduate', 'sudah', 'laku', 'semua', 'masih', 'belum', 'dapatdapat', 'kejar', 'umur', 'jadi', 'bagaimana', 'apakah', 'ali', 'potensi', 'kerja', 'luar', 'negeri', 'gaung', 'tagar', 'kaburajadulu']",anger
"['bisa', 'bapak', 'kasi', 'project', 'mbg', 'masa', 'anak', 'kaburajadulu', 'bapak', 'kerja', 'perintah']",anticipation
"['sudah', 'benar', 'pa', 'tren', 'kaburajadulu']",anger
